OBSN;SEXE;AGE;REVENU ;LOISIRS;ENFANT ;FRERE;RELIGION;PLAT
1;F;19;60000;LECTURE;5;1;MUSULMANE ;ATTIEKE
2;F;21;20000;LECTURE;3;4;MUSULMANE ;FRITE POULET
3;F;21;20000;PROMEDE;3;4;CHRETIENNE;FOUFOU
4;M;22;75000;SPORT;5;10;MUSULMANE ;TO
5;F;21;50000;LECTURE;6;4;CHRETIENNE;FOUTOU
6;F;20;25000;LECTURE;2;1;CHRETIENNE;ALLOCO
7;M;20;20000;MUSIQUE;3;5;CHRETIENNE;PLACALI
8;M;22;40000;FOOTBALL;3;6;CHRETIENNE;ALLOCO
9;M;22;50000;JEU VIDEO;4;4;MUSULMANE ;ALLOCO
10;M;18;50000;DORMIR;4;1;CHRETIENNE;FOUFOU
11;M;19;200000;JEU VIDEO;2;5;CHRETIENNE;FRITE POULET
12;M;21;35000;JEU VIDEO;4;15;MUSULMANE ;POULET PANE
13;M;20;120000;MUSIQUE;8;6;MUSULMANE ;SAUCE OBERGINE
14;F;20;50000;TELEVISION;4;3;MUSULMANE ;FOUTOU
15;M;21;50000;JEU VIDEO;1;4;CHRETIENNE;WANTCHE
16;F;21;50000;DORMIR;18;5;CHRETIENNE;THIEP
17;M;19;68000;JEU VIDEO;4;2;ANIMISTE;WANTCHE
18;M;21;50000;FOOTBALL;4;2;CHRETIENNE;ATTIEKE
19;M;18;35000;FOOTBALL;4;6;CHRETIENNE;ATTIEKE
20;M;20;15000;FOOTBALL;4;5;CHRETIENNE;ATTIEKE
21;M;23;10000;SPORT;4;3;MUSULMANE ;FOUTOU
22;F;18;70000;TELEVISION;4;1;CHRETIENNE;TCHEP
23;F;17;15000;TELEVISION;8;14;MUSULMANE ;ATTIEKE
24;F;17;50000;JEU VIDEO;2;3;CHRETIENNE;PLACALI
25;M;17;20000;JEU VIDEO;2;4;CHRETIENNE;RIZ
26;F;21;30000;BALADE ;2;5;CHRETIENNE;TCHEP
27;F;19;40000;DANSE;6;2;CHRETIENNE;BIEUK‚SSEU
28;F;22;30000;TTATION;5;3;CHRETIENNE;RIZ
29;F;19;40000;TTATION;4;2;CHRETIENNE;PLACALI
30;M;19;20000;TTATION;4;4;MUSULMANE ;RIZ
31;M;19;48000;RUGBY;3;3;CHRETIENNE;FOUTOU
33;M;18;25000;DESSINER;3;2;CHRETIENNE;PORC AU FOUR
36;F;19;60000;BOXE;3;9;MUSULMANE ;RIZ
37;M;19;12000;KARATE;3;12;CHRETIENNE;PORC AU FOUR
38;M;19;35000;SPORT;3;3;CHRETIENNE;FOUTOU
39;F;18;30000;TTATION;2;4;MUSULMANE ;TCHEP
40;F;20;30000;VIGUER;4;3;MUSULMANE ;POISSON BRAISE
41;F;19;30000;TELEVISION;1;2;CHRETIENNE;YASSA
42;F;19;30000;TELEVISION;4;2;MUSULMANE ;TCHEP
43;F;17;40000;TELEVISION;4;3;MUSULMANE ;ATTIEKE
44;F;17;25000;DANSE ET COUTURE;2;7;CHRETIENNE;TCHEP
45;F;18;30000;CHANTE;4;4;CHRETIENNE;FOUTOU
46;M;22;5000;POESIE;6;11;MUSULMANE ;RIZ
47;M;19;30000;FOOTBALL;5;7;CHRETIENNE;HARICOT
48;M;18;5000;FOOTBALL;2;9;CHRETIENNE;FOUTOU
49;F;18;30000;TELEVISION;2;3;CHRETIENNE;MACEDOINE
